 slim_337533165 slim_337533057 slim_337533150 slim_337533310 slim_337533260 slim_337533301 slim_337533279 slim_337533270 slim_337533258 slim_337533233 slim_337533177 slim_337533118 slim_337533327 slim_337533101 slim_337533306 slim_337533267 slim_337533323 slim_337533047 slim_337533019 slim_337533294 slim_337533067 slim_337532936 slim_337533230 slim_337533319 slim_337533137 slim_337533159 slim_337533268 slim_337533314 slim_337533096 slim_337533325 slim_337533219 slim_337533290 slim_337533190 slim_337533316 slim_337533232 slim_337533143 slim_337533195 slim_337533286 slim_337533322 slim_337533211 slim_337533313 slim_337533296 slim_337533217 slim_337533029 slim_337533176 slim_337533145 slim_337533262 slim_337533106 slim_337533264 slim_337533274 slim_337533183 slim_337533238 slim_337533321 slim_337533303 slim_337533193 slim_337532915 slim_337533132 slim_337533324 slim_337533253 slim_337533261 slim_337533305 slim_337533288 slim_337533312 slim_337533100 slim_337533158 slim_337533223 slim_337533098 slim_337533237 slim_337533168 slim_337533175 slim_337533285 slim_337533318 slim_337533259 slim_337533263 slim_337533210 slim_337533169 slim_337533244 slim_337533273 slim_337533280 slim_337533184 slim_337533154 slim_337533236 slim_337533201 slim_337533245 slim_337533146 slim_337533164 slim_337533308
0 9.59e-05 6.265e-05 6.645e-05 6.595e-05 0.00011525 0.00016135 0.00020355 8.89e-05 6.71e-05 0.00013275 0.0001155 0.00021565 0.0001043 0.00011475 0.00012015 4.915e-05 0.00021475 0.00011475 0.0001206 0.0001191 0.0001453 0.0001868 0.0001698 0.0001496 0.00011475 9.13e-05 0.00015815 9.29e-05 6.61e-05 0.00021085 0.00013175 0.0002105 4.83e-05 4.895e-05 0.000194 0.0001324 0.00018295 6.01e-05 7.475e-05 0.0001149 4.88e-05 0.00013735 0.0001815 0.0001377 0.000122 0.0001651 6.135e-05 0.0001325 0.00018845 0.0002156 4.995e-05 0.0001206 0.0001886 0.0001827 0.0001031 4.86e-05 4.88e-05 0.0001206 0.0001183 0.0001578 0.00013275 0.00013495 0.0001726 0.0001028 0.00012225 0.0001696 0.0001216 0.0001223 9.195e-05 6.035e-05 0.0001228 0.00013385 4.835e-05 6.575e-05 0.0001031 0.0002154 0.00015775 0.00011555 0.0001221 0.0002043 4.825e-05 0.00022015 0.000137 0.00020515 0.0001883 0.0001154 0.00010355
1 6.265e-05 3.14e-05 0.00011835 7.865e-05 8.925e-05 0.00014125 0.00022345 0.00011005 7.505e-05 0.00011285 8.57e-05 0.00020305 6.11e-05 0.00012875 0.00013345 5.955e-05 0.0002018 0.000106 0.00011645 9.23e-05 0.0001095 0.00015955 0.0001308 0.00011915 7.92e-05 7.805e-05 0.0001273 0.0001174 0.00011835 0.0002292 0.00015265 0.00019605 0.00010265 6.25e-05 0.0001734 0.0001095 0.00014735 5.83e-05 1.58e-05 0.00010615 0.0001026 0.00018925 0.00015515 0.00014625 0.0001425 0.0001409 5.905e-05 0.0001446 0.00016875 0.00020305 1.9e-05 0.0001337 0.00016235 0.0001476 0.00010445 6.28e-05 6.22e-05 0.00011645 0.0001324 0.00012695 0.0001128 0.00012225 0.0001603 6.09e-05 0.00014275 0.0001271 9.015e-05 0.0001428 6.065e-05 4.13e-05 0.00010265 9.03e-05 7.995e-05 0.00011805 7.92e-05 0.00020285 0.0001269 8.875e-05 0.00014275 0.00018395 6.31e-05 0.00023835 0.0001224 0.00019195 0.0001686 8.86e-05 9.32e-05
2 6.645e-05 0.00011835 4e-05 6.615e-05 0.00014225 0.00020885 0.00019565 9.275e-05 6.325e-05 0.0001706 0.00013935 0.0002291 0.0001621 9.695e-05 0.00013695 6.39e-05 0.00022805 0.00012565 0.00011565 0.0001461 0.00017995 0.00021265 0.00019545 0.000174 0.00014935 0.00013365 0.00018085 9.335e-05 2.115e-05 0.000197 0.00012505 0.00023585 2.145e-05 6.675e-05 0.00024045 0.00016735 0.00021705 8.29e-05 0.0001306 0.0001258 2.06e-05 9.38e-05 0.00017275 0.0001361 0.00012475 0.0002084 7.585e-05 9.65e-05 0.0002003 0.00022895 0.00010895 0.0001374 0.00021335 0.0002155 0.0001197 6.65e-05 6.655e-05 0.00011565 0.00010075 0.0001805 0.0001707 0.00015635 0.0001966 0.0001617 0.000125 0.0001923 0.0001796 0.00012505 0.00015025 9.925e-05 0.00017025 0.000192 5.02e-05 2.065e-05 0.0001377 0.00022875 0.00018045 0.0001424 0.0001249 0.00024115 6.625e-05 0.00019665 0.0001647 0.00022795 0.00020015 0.00014225 0.0001233
3 6.595e-05 7.865e-05 6.615e-05 0.0001274 0.00011595 0.00017815 0.0002112 0.0001074 6.555e-05 0.00013955 0.0001158 0.000212 0.00012075 0.00011645 0.00013855 6.765e-05 0.00021155 0.0001162 0.00011785 0.00011955 0.00015105 0.0001868 0.0001695 0.0001505 0.000121 0.0001092 0.00015795 0.0001118 6.625e-05 0.00021155 0.00013995 0.000211 6.835e-05 6.76e-05 0.0002104 0.0001392 0.0001887 6.875e-05 8.99e-05 0.00011635 6.83e-05 0.00013985 0.00016485 0.0001382 0.00013995 0.0001813 7.895e-05 0.0001143 0.0001882 0.00021195 6.7e-05 0.00013895 0.0001881 0.00018795 0.00012115 6.75e-05 6.73e-05 0.00011785 0.00012025 0.0001576 0.00013955 0.00013795 0.00017925 0.00011805 0.0001402 0.00016865 0.00013835 0.00014025 0.0001087 6.825e-05 0.0001395 0.00014975 6.815e-05 6.575e-05 0.0001101 0.00021175 0.00015755 0.00011585 0.0001402 0.0002108 6.745e-05 0.0002114 0.00013895 0.00021185 0.00018805 0.0001157 0.0001198
4 0.00011525 8.925e-05 0.00014225 0.00011595 0.0001744 0.0001688 0.0001982 0.0001551 0.0001158 0.00013075 8.78e-05 0.0001732 9.27e-05 0.00011465 0.0001552 0.00011505 0.00017255 8.875e-05 0.0001199 9.165e-05 0.0001316 0.00012805 9.22e-05 0.00013095 9.46e-05 9.33e-05 9.2e-05 0.00011585 0.0001425 0.0001994 0.00015735 0.0001722 0.00014195 0.000115 0.0001709 0.0001304 0.00013195 9.09e-05 8.98e-05 8.89e-05 0.0001418 0.00018375 8.765e-05 0.00015775 0.0001575 0.000135 0.0001157 0.0001152 0.00013005 0.00017315 8.825e-05 0.0001555 0.0001302 0.0001298 0.00011925 0.00011445 0.0001147 0.0001199 0.00011855 9.195e-05 0.00013075 0.00013175 0.00017075 9.315e-05 0.00015775 9.265e-05 0.00012875 0.0001578 9.225e-05 8.94e-05 0.00013085 0.00012945 0.0001161 0.00014205 9.405e-05 0.00017295 9.2e-05 8.785e-05 0.00015775 0.00017115 0.0001148 0.0001989 0.00013005 0.000173 0.0001302 8.77e-05 0.00011935
5 0.00016135 0.00014125 0.00020885 0.00017815 0.0001688 0.0001022 9.435e-05 0.0001217 0.0001776 0.0001006 0.00016885 7.44e-05 0.00015175 0.00020055 0.0001222 0.0001609 7.335e-05 0.0001747 0.00020005 0.00017245 0.00011385 0.00012975 0.00019145 0.00012255 0.0001624 0.00014615 0.0001803 0.00018005 0.0002092 9.97e-05 0.0001333 7.225e-05 0.00019265 0.00016085 5.145e-05 0.0001015 0.00012095 0.00014555 0.0001531 0.00017485 0.0001923 0.00016995 0.00020875 0.00013895 0.0001219 0.0001015 0.0001727 0.0002172 0.00013035 7.31e-05 0.0001291 0.0001221 0.0001302 0.00012045 0.0001833 0.00016055 0.00016055 0.00020005 0.0002042 0.00017995 0.00010185 0.000104 6.26e-05 0.00015245 0.00012175 0.00019175 9.035e-05 0.0001222 0.0001402 0.0001394 9.04e-05 0.00010235 0.00016685 0.00020885 0.00015075 7.29e-05 0.0001799 0.0001689 0.00012215 6.175e-05 0.0001609 0.00010995 0.0001105 6.185e-05 0.0001302 0.00016875 0.0001833
6 0.00020355 0.00022345 0.00019565 0.0002112 0.0001982 9.435e-05 9.16e-05 0.0001515 0.0002079 0.00013175 0.0001951 4.87e-05 0.00020665 0.00018385 0.0001318 0.00020065 4.835e-05 0.00018705 0.0001999 0.0002017 0.0001421 0.0001264 0.0001903 0.00014625 0.00019385 0.00018425 0.00017605 0.00017495 0.0001969 5.355e-05 0.0001189 6.51e-05 0.00018935 0.0002034 6.095e-05 0.00012995 0.0001188 0.00019365 0.0002354 0.0001872 0.00018825 0.0001246 0.00017875 0.00013605 0.0001182 0.00011005 0.00021225 0.00019145 0.00011305 4.72e-05 0.0002144 0.00013215 0.00012545 0.0001187 0.00019545 0.00020345 0.0002033 0.0001999 0.0001876 0.0001757 0.0001332 0.00012155 8.12e-05 0.00020695 0.0001182 0.00018745 0.00014305 0.0001185 0.0001952 0.00020455 0.00013245 0.00015515 0.0001926 0.0001966 0.00018225 4.72e-05 0.00017565 0.00019815 0.00011825 6.03e-05 0.0002032 5.39e-05 0.0001373 4.76e-05 0.0001129 0.000198 0.00019955
7 8.89e-05 0.00011005 9.275e-05 0.0001074 0.0001551 0.0001217 0.0001515 0.0001469 0.0001044 0.00013295 0.00015265 0.00016405 0.00015475 0.0001405 0.0001217 8.605e-05 0.00016285 0.0001437 0.00015715 0.00015925 0.00014295 0.00018835 0.0002093 0.00014635 0.00015035 0.0001309 0.0001948 0.0001215 9.225e-05 0.0001578 0.0001187 0.00016995 7.38e-05 8.885e-05 0.00015535 0.00013075 0.00018045 8.84e-05 0.00012165 0.00014385 7.45e-05 0.00012425 0.0002075 0.00013625 0.00010725 0.00016125 9.755e-05 0.00015885 0.00017425 0.00016285 0.00010105 0.0001219 0.00018735 0.00018035 0.00014235 8.82e-05 8.87e-05 0.00015715 0.00014415 0.00019445 0.0001341 0.0001227 0.0001186 0.00015415 0.0001071 0.00020585 0.0001341 0.00010755 0.00014275 9.955e-05 0.00012245 0.00014585 7.705e-05 9.185e-05 0.0001391 0.00016265 0.0001944 0.0001557 0.00010735 0.0001659 8.785e-05 0.0001682 0.00013745 0.00015115 0.0001741 0.00015555 0.0001465
8 6.71e-05 7.505e-05 6.325e-05 6.555e-05 0.0001158 0.0001776 0.0002079 0.0001044 0.0001229 0.00013885 0.00011235 0.0002092 0.0001187 0.00011365 0.00013765 6.365e-05 0.0002083 0.00011645 0.0001156 0.0001191 0.0001489 0.00018645 0.0001692 0.0001484 0.00011835 0.0001079 0.00015415 0.0001113 6.345e-05 0.0002086 0.0001369 0.0002113 6.5e-05 6.66e-05 0.00020965 0.0001355 0.0001864 6.845e-05 8.845e-05 0.0001166 6.485e-05 0.00013675 0.0001626 0.0001363 0.00013675 0.0001771 7.655e-05 0.00011205 0.00018555 0.0002092 6.48e-05 0.00013805 0.00018865 0.000185 0.0001203 6.68e-05 6.63e-05 0.0001156 0.00011745 0.0001538 0.0001388 0.0001352 0.00017655 0.0001199 0.000137 0.00016655 0.00013625 0.00013705 0.0001067 6.755e-05 0.00013865 0.0001498 6.785e-05 6.295e-05 0.00010575 0.000209 0.00015375 0.0001154 0.000137 0.0002102 6.71e-05 0.0002081 0.00013825 0.00020845 0.0001854 0.00011525 0.00011655
9 0.00013275 0.00011285 0.0001706 0.00013955 0.00013075 0.0001006 0.00013175 0.00013295 0.00013885 0.0001982 0.0001302 0.0001024 0.000123 0.0001628 0.00013195 0.000132 0.00010195 0.0001369 0.00016245 0.0001338 0.0001142 0.00013005 0.0001537 0.0001234 0.00012505 0.00011775 0.0001422 0.0001521 0.00017115 0.00013865 0.0001333 0.00011045 0.00016465 0.00013195 0.0001003 0.0001006 0.0001213 0.0001078 0.0001258 0.00013705 0.00016405 0.00017025 0.00016125 0.00013905 0.00013265 0.0001119 0.00014505 0.00016945 0.00013125 0.00010065 9.94e-05 0.00013215 0.0001305 0.0001209 0.0001553 0.00013225 0.0001316 0.00016245 0.00016645 0.00014185 0.0001009 0.0001035 0.00010185 0.0001242 0.00013265 0.00015435 9.965e-05 0.00013295 0.00011095 0.0001014 0.0001002 0.00011275 0.0001388 0.00017085 0.0001127 0.00010065 0.0001418 0.00013025 0.0001329 9.935e-05 0.0001326 0.00013885 0.00011 0.00010135 0.0001311 0.0001301 0.000155
